Sn,pre test,post test,result,result_2,error
0,BKP_LSSCSI.TXT,BKP_LSSCSI.TXT,success,1,0
1,BLKID.TXT,BLKID.TXT,success,1,0
2,BOOT_AGE.TXT,BOOT_AGE.TXT,success,1,0
3,BOOT_FILES-TIMESTAMP.TXT,BOOT_FILES-TIMESTAMP.TXT,success,1,0
4,BOOT_SIZE.TXT,BOOT_SIZE.TXT,success,1,0
5,CHKCONFIG--LIST.TXT,CHKCONFIG--LIST.TXT,success,1,0
6,CMDLINE.TXT,CMDLINE.TXT,success,1,0
7,CPUINFO.TXT,CPUINFO.TXT,success,1,0
8,CRONTAB-L.TXT,CRONTAB-L.TXT,success,1,0
9,DATE.TXT,DATE.TXT,success,1,0
10,DF-HPT.TXT,DF-HPT.TXT,success,1,0
11,DF-HPT.TXT_TMP,DF-HPT.TXT_TMP,success,1,0
12,DF-HPT_COUNT.TXT,DF-HPT_COUNT.TXT,success,1,0
13,DMIDECODE.TXT,DMIDECODE.TXT,success,1,0
14,ETC_FILES-TIMESTAMP.TXT,ETC_FILES-TIMESTAMP.TXT,filed,0,2
15,EXPORTS.TXT,EXPORTS.TXT,success,1,0
16,FREE-M.TXT,FREE-M.TXT,success,1,0
17,FSTAB.TXT,FSTAB.TXT,success,1,0
18,FSTAB_COUNT.TXT,FSTAB_COUNT.TXT,success,1,0
19,GROUP.TXT,GROUP.TXT,success,1,0
20,GRUB-CONF.TXT,GRUB-CONF.TXT,success,1,0
21,HOSTNAME.TXT,HOSTNAME.TXT,success,1,0
22,HOSTS.TXT,HOSTS.TXT,success,1,0
23,IFCONFIG.TXT,IFCONFIG.TXT,success,1,0
24,IFCONFIG.TXT_TMP,IFCONFIG.TXT_TMP,success,1,0
25,IFCONFIG.TXT_TMP1,IFCONFIG.TXT_TMP1,success,1,0
26,IPTABLES-L.TXT,IPTABLES-L.TXT,success,1,0
27,LAST_BOOT_TIME.TXT,LAST_BOOT_TIME.TXT,success,1,0
28,LSBLK.TXT,LSBLK.TXT,success,1,0
29,LSBLK.TXT_TMP,LSBLK.TXT_TMP,success,1,0
30,LSCPU.TXT,LSCPU.TXT,success,1,0
31,LSSCSI.TXT,LSSCSI.TXT,success,1,0
32,LVS.TXT,LVS.TXT,success,1,0
33,MEMINFO.TXT,MEMINFO.TXT,success,1,0
34,MOUNT.TXT,MOUNT.TXT,success,1,0
35,MOUNT.TXT_TMP,MOUNT.TXT_TMP,success,1,0
36,MULTIPATH-CONF.TXT,MULTIPATH-CONF.TXT,success,1,0
37,MULTIPATH-LL.TXT,MULTIPATH-LL.TXT,success,1,0
38,NETSTAT.TXT,NETSTAT.TXT,success,1,0
39,NFS_REMOTE_MOUNTS.TXT,NFS_REMOTE_MOUNTS.TXT,success,1,0
40,NTPQ-P.TXT,NTPQ-P.TXT,success,1,0
41,PASSWD.TXT,PASSWD.TXT,success,1,0
42,PVS.TXT,PVS.TXT,success,1,0
43,RESOLV-CONF.TXT,RESOLV-CONF.TXT,success,1,0
44,ROUTE-N.TXT,ROUTE-N.TXT,success,1,0
45,RPM-QA--LAST.TXT,RPM-QA--LAST.TXT,success,1,0
46,RPM-QA.TXT,RPM-QA.TXT,success,1,0
47,SERVICE-IPTABLES-STATUS.TXT,SERVICE-IPTABLES-STATUS.TXT,success,1,0
48,SERVICE-NFS-STATUS.TXT,SERVICE-NFS-STATUS.TXT,success,1,0
49,SERVICE-NTPD-STATUS.TXT,SERVICE-NTPD-STATUS.TXT,success,1,0
50,SERVICE-SSHD-STATUS.TXT,SERVICE-SSHD-STATUS.TXT,success,1,0
51,SERVICE-SSSD-STATUS.TXT,SERVICE-SSSD-STATUS.TXT,success,1,0
52,SESTATUS.TXT,SESTATUS.TXT,success,1,0
53,SHADOW.TXT,SHADOW.TXT,success,1,0
54,SHOWMOUNT-A.TXT,SHOWMOUNT-A.TXT,success,1,0
55,SYSCTL-A.TXT,SYSCTL-A.TXT,success,1,0
56,SYSCTL-CONF.TXT,SYSCTL-CONF.TXT,success,1,0
57,TIMEZONE.TXT,TIMEZONE.TXT,success,1,0
58,UNAME-A.TXT,UNAME-A.TXT,success,1,0
59,UNAME-R.TXT,UNAME-R.TXT,success,1,0
60,UPTIME.TXT,UPTIME.TXT,success,1,0
61,VGS.TXT,VGS.TXT,success,1,0
62,YUM_CHECK.TXT,YUM_CHECK.TXT,success,1,0
